czas;1.csv - abs;5.csv - abs;3.csv - abs;| || |;1.csv - delta;5.csv - delta;3.csv - delta
0;-0.0006;-0.0003;-0.0;| || |;0.0;0.0;0.0
1;-0.0003;-0.0;0.0003;| || |;0.0003;0.0003;0.0003
2;-0.0003;-0.0;-0.0;| || |;0.0;0.0;-0.0003
3;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
4;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
5;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
6;-0.0003;-0.0003;-0.0;| || |;0.0;-0.0003;0.0
7;-0.0;-0.0;-0.0;| || |;0.0003;0.0003;0.0
8;-0.0003;-0.0003;-0.0003;| || |;-0.0003;-0.0003;-0.0003
9;-0.0003;-0.0003;-0.0003;| || |;0.0;0.0;0.0
10;-0.0003;-0.0;-0.0003;| || |;0.0;0.0003;0.0
11;-0.0003;0.0003;-0.0;| || |;0.0;0.0003;0.0003
12;-0.0003;-0.0;-0.0;| || |;0.0;-0.0003;0.0
13;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
14;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
15;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
16;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;-0.0003
17;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0003
18;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
19;-0.0003;0.0003;-0.0;| || |;0.0;0.0003;0.0
20;-0.0003;0.0003;-0.0;| || |;0.0;0.0;0.0
21;-0.0;-0.0;-0.0;| || |;0.0003;-0.0003;0.0
22;-0.0;-0.0;-0.0;| || |;0.0;0.0;0.0
23;-0.0003;-0.0;-0.0;| || |;-0.0003;0.0;0.0
24;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
25;-0.0;-0.0;-0.0;| || |;0.0003;0.0;0.0
26;-0.0003;-0.0;-0.0;| || |;-0.0003;0.0;0.0
27;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
28;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0
29;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;-0.0003
30;-0.0;-0.0;-0.0;| || |;0.0003;0.0;0.0003
31;-0.0003;-0.0;-0.0;| || |;-0.0003;0.0;0.0
32;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;-0.0003
33;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;0.0
34;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;0.0
35;-0.0003;-0.0003;-0.0003;| || |;0.0;-0.0003;0.0
36;-0.0003;-0.0;-0.0;| || |;0.0;0.0003;0.0003
37;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;-0.0003
38;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;0.0
39;-0.0003;-0.0;-0.0;| || |;0.0;0.0;0.0003
40;-0.0;0.0003;-0.0;| || |;0.0003;0.0003;0.0
41;-0.0;-0.0;-0.0;| || |;0.0;-0.0003;0.0
42;-0.0;-0.0;-0.0;| || |;0.0;0.0;0.0
43;-0.0;-0.0;-0.0003;| || |;0.0;0.0;-0.0003
44;-0.0;-0.0;-0.0;| || |;0.0;0.0;0.0003
45;-0.0003;-0.0003;-0.0003;| || |;-0.0003;-0.0003;-0.0003
46;-0.0;-0.0;-0.0;| || |;0.0003;0.0003;0.0003
47;-0.0003;-0.0;-0.0003;| || |;-0.0003;0.0;-0.0003
48;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;0.0
49;-0.0;-0.0;-0.0003;| || |;0.0003;0.0;0.0
50;-0.0;-0.0;-0.0003;| || |;0.0;0.0;0.0
51;-0.0003;-0.0;-0.0003;| || |;-0.0003;0.0;0.0
52;-0.0;-0.0;-0.0003;| || |;0.0003;0.0;0.0
53;-0.0;-0.0;-0.0003;| || |;0.0;0.0;0.0
54;-0.0003;-0.0;-0.0003;| || |;-0.0003;0.0;0.0
55;-0.0003;-0.0003;-0.0;| || |;0.0;-0.0003;0.0003
56;-0.0003;-0.0;-0.0003;| || |;0.0;0.0003;-0.0003
57;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;0.0
58;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;0.0
59;-0.0;-0.0;-0.0006;| || |;0.0003;0.0;-0.0003
60;-0.0;-0.0;-0.0003;| || |;0.0;0.0;0.0003
61;-0.0003;0.0003;-0.0;| || |;-0.0003;0.0003;0.0003
62;-0.0003;-0.0;-0.0003;| || |;0.0;-0.0003;-0.0003
63;-0.0;-0.0;-0.0003;| || |;0.0003;0.0;0.0
64;-0.0003;-0.0003;-0.0006;| || |;-0.0003;-0.0003;-0.0003
65;-0.0003;-0.0;-0.0003;| || |;0.0;0.0003;0.0003
66;-0.0;-0.0;-0.0003;| || |;0.0003;0.0;0.0
67;-0.0;-0.0;-0.0003;| || |;0.0;0.0;0.0
68;-0.0003;-0.0;-0.0003;| || |;-0.0003;0.0;0.0
69;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;0.0
70;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;0.0
71;-0.0003;-0.0;-0.0006;| || |;0.0;0.0;-0.0003
72;-0.0003;-0.0;-0.0006;| || |;0.0;0.0;0.0
73;-0.0003;-0.0;-0.0006;| || |;0.0;0.0;0.0
74;-0.0;-0.0;-0.0006;| || |;0.0003;0.0;0.0
75;-0.0;-0.0;-0.0006;| || |;0.0;0.0;0.0
76;-0.0;-0.0;-0.0003;| || |;0.0;0.0;0.0003
77;-0.0003;-0.0;-0.0006;| || |;-0.0003;0.0;-0.0003
78;-0.0;-0.0;-0.0006;| || |;0.0003;0.0;0.0
79;-0.0;-0.0003;-0.0006;| || |;0.0;-0.0003;0.0
80;-0.0003;-0.0;-0.0003;| || |;-0.0003;0.0003;0.0003
81;-0.0003;-0.0003;-0.0003;| || |;0.0;-0.0003;0.0
82;-0.0003;-0.0003;-0.0003;| || |;0.0;0.0;0.0
83;-0.0003;-0.0;-0.0006;| || |;0.0;0.0003;-0.0003
84;-0.0003;-0.0;-0.0006;| || |;0.0;0.0;0.0
85;-0.0003;-0.0;-0.0006;| || |;0.0;0.0;0.0
86;-0.0003;-0.0;-0.0003;| || |;0.0;0.0;0.0003
87;-0.0;-0.0;-0.0006;| || |;0.0003;0.0;-0.0003
88;-0.0003;-0.0003;-0.0006;| || |;-0.0003;-0.0003;0.0
89;-0.0003;-0.0003;-0.0003;| || |;0.0;0.0;0.0003
90;-0.0;-0.0003;-0.0003;| || |;0.0003;0.0;0.0
91;-0.0003;-0.0003;-0.0003;| || |;-0.0003;0.0;0.0
92;-0.0003;-0.0003;-0.0006;| || |;0.0;0.0;-0.0003
93;-0.0003;-0.0;-0.0006;| || |;0.0;0.0003;0.0
94;-0.0;-0.0;-0.0006;| || |;0.0003;0.0;0.0
95;-0.0;-0.0;-0.0006;| || |;0.0;0.0;0.0
96;-0.0003;-0.0003;-0.0006;| || |;-0.0003;-0.0003;0.0
97;-0.0003;-0.0003;-0.0006;| || |;0.0;0.0;0.0
98;-0.0003;-0.0003;-0.0006;| || |;0.0;0.0;0.0
99;-0.0006;-0.0003;-0.0006;| || |;-0.0003;0.0;0.0
100;-0.0003;-0.0003;-0.0006;| || |;0.0003;0.0;0.0
101;-0.0003;-0.0;-0.0006;| || |;0.0;0.0003;0.0
102;-0.0003;-0.0;-0.001;| || |;0.0;0.0;-0.0004000000000000001
103;-0.0;-0.0;-0.0006;| || |;0.0003;0.0;0.0004000000000000001
104;-0.0003;-0.0;-0.001;| || |;-0.0003;0.0;-0.0004000000000000001
105;-0.0003;-0.0003;-0.0006;| || |;0.0;-0.0003;0.0004000000000000001
106;-0.0;-0.0;-0.001;| || |;0.0003;0.0003;-0.0004000000000000001
107;-0.0;-0.0;-0.0006;| || |;0.0;0.0;0.0004000000000000001
108;-0.0;-0.0;-0.0006;| || |;0.0;0.0;0.0
109;-0.0;-0.0003;-0.001;| || |;0.0;-0.0003;-0.0004000000000000001
110;-0.0;-0.0003;-0.0006;| || |;0.0;0.0;0.0004000000000000001
111;-0.0;-0.0;-0.0006;| || |;0.0;0.0003;0.0
112;-0.0003;-0.0003;-0.001;| || |;-0.0003;-0.0003;-0.0004000000000000001
113;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;0.0
114;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;0.0
115;-0.0;-0.0003;-0.001;| || |;0.0003;0.0;0.0
116;-0.0;-0.0003;-0.001;| || |;0.0;0.0;0.0
117;-0.0;-0.0003;-0.0006;| || |;0.0;0.0;0.0004000000000000001
118;-0.0;-0.0003;-0.0006;| || |;0.0;0.0;0.0
119;-0.0;-0.0003;-0.0006;| || |;0.0;0.0;0.0
120;-0.0;-0.0003;-0.0006;| || |;0.0;0.0;0.0
121;-0.0;-0.0003;-0.0006;| || |;0.0;0.0;0.0
122;-0.0003;-0.0003;-0.0006;| || |;-0.0003;0.0;0.0
123;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;-0.0004000000000000001
124;-0.0003;-0.0;-0.001;| || |;0.0;0.0003;0.0
125;-0.0;-0.0003;-0.0006;| || |;0.0003;-0.0003;0.0004000000000000001
126;-0.0;-0.0003;-0.0006;| || |;0.0;0.0;0.0
127;-0.0;-0.0003;-0.001;| || |;0.0;0.0;-0.0004000000000000001
128;-0.0003;-0.0003;-0.001;| || |;-0.0003;0.0;0.0
129;-0.0;-0.0003;-0.001;| || |;0.0003;0.0;0.0
130;-0.0;-0.0;-0.001;| || |;0.0;0.0003;0.0
131;-0.0;-0.0;-0.001;| || |;0.0;0.0;0.0
132;0.0003;-0.0003;-0.0006;| || |;0.0003;-0.0003;0.0004000000000000001
133;-0.0;-0.0003;-0.0006;| || |;-0.0003;0.0;0.0
134;-0.0;-0.0;-0.001;| || |;0.0;0.0003;-0.0004000000000000001
135;-0.0003;-0.0003;-0.001;| || |;-0.0003;-0.0003;0.0
136;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;0.0
137;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;0.0
138;-0.0;-0.0;-0.001;| || |;0.0003;0.0003;0.0
139;-0.0003;-0.0;-0.0006;| || |;-0.0003;0.0;0.0004000000000000001
140;-0.0003;-0.0003;-0.001;| || |;0.0;-0.0003;-0.0004000000000000001
141;-0.0003;-0.0;-0.001;| || |;0.0;0.0003;0.0
142;-0.0003;-0.0003;-0.001;| || |;0.0;-0.0003;0.0
143;-0.0;-0.0003;-0.001;| || |;0.0003;0.0;0.0
144;-0.0003;-0.0003;-0.0013;| || |;-0.0003;0.0;-0.0002999999999999999
145;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;0.0002999999999999999
146;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;0.0
147;-0.0;-0.0003;-0.001;| || |;0.0003;0.0;0.0
148;-0.0003;-0.0003;-0.001;| || |;-0.0003;0.0;0.0
149;-0.0003;-0.0;-0.0006;| || |;0.0;0.0003;0.0004000000000000001
150;-0.0;-0.0;-0.001;| || |;0.0003;0.0;-0.0004000000000000001
151;-0.0003;-0.0;-0.0013;| || |;-0.0003;0.0;-0.0002999999999999999
152;-0.0003;-0.0;-0.001;| || |;0.0;0.0;0.0002999999999999999
153;-0.0003;-0.0003;-0.001;| || |;0.0;-0.0003;0.0
154;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;0.0
155;-0.0003;-0.0;-0.001;| || |;0.0;0.0003;0.0
156;-0.0;-0.0;-0.001;| || |;0.0003;0.0;0.0
157;-0.0;-0.0003;-0.001;| || |;0.0;-0.0003;0.0
158;-0.0003;-0.0;-0.001;| || |;-0.0003;0.0003;0.0
159;-0.0003;-0.0003;-0.001;| || |;0.0;-0.0003;0.0
160;-0.0;-0.0003;-0.001;| || |;0.0003;0.0;0.0
161;-0.0;-0.0;-0.001;| || |;0.0;0.0003;0.0
162;-0.0003;-0.0003;-0.001;| || |;-0.0003;-0.0003;0.0
163;-0.0;-0.0;-0.001;| || |;0.0003;0.0003;0.0
164;-0.0;-0.0;-0.001;| || |;0.0;0.0;0.0
165;-0.0;-0.0;-0.001;| || |;0.0;0.0;0.0
166;-0.0003;-0.0003;-0.0013;| || |;-0.0003;-0.0003;-0.0002999999999999999
167;-0.0;-0.0003;-0.0013;| || |;0.0003;0.0;0.0
168;-0.0003;-0.0003;-0.0013;| || |;-0.0003;0.0;0.0
169;-0.0003;-0.0003;-0.0013;| || |;0.0;0.0;0.0
170;-0.0;-0.0003;-0.0013;| || |;0.0003;0.0;0.0
171;-0.0;-0.0003;-0.001;| || |;0.0;0.0;0.0002999999999999999
172;-0.0;-0.0;-0.0013;| || |;0.0;0.0003;-0.0002999999999999999
173;-0.0003;-0.0003;-0.0013;| || |;-0.0003;-0.0003;0.0
174;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;0.0002999999999999999
175;-0.0006;-0.0;-0.0013;| || |;-0.0003;0.0003;-0.0002999999999999999
176;-0.0003;-0.0003;-0.0013;| || |;0.0003;-0.0003;0.0
177;-0.0003;-0.0003;-0.0013;| || |;0.0;0.0;0.0
178;-0.0006;-0.0003;-0.0013;| || |;-0.0003;0.0;0.0
179;-0.0003;-0.0003;-0.0013;| || |;0.0003;0.0;0.0
180;-0.0003;-0.0003;-0.0013;| || |;0.0;0.0;0.0
181;-0.0003;-0.0003;-0.001;| || |;0.0;0.0;0.0002999999999999999
182;-0.0003;-0.0003;-0.0013;| || |;0.0;0.0;-0.0002999999999999999
183;-0.0;-0.0;-0.0013;| || |;0.0003;0.0003;0.0
184;-0.0003;-0.0003;-0.0013;| || |;-0.0003;-0.0003;0.0
185;-0.0003;-0.0006;-0.0013;| || |;0.0;-0.0003;0.0
186;-0.0003;-0.0003;-0.0013;| || |;0.0;0.0003;0.0
187;-0.0;-0.0;-0.0013;| || |;0.0003;0.0003;0.0
188;-0.0003;-0.0003;-0.0013;| || |;-0.0003;-0.0003;0.0
189;-0.0003;-0.0003;-0.0013;| || |;0.0;0.0;0.0
190;-0.0003;-0.0;-0.0013;| || |;0.0;0.0003;0.0
191;-0.0;-0.0;-0.0013;| || |;0.0003;0.0;0.0
192;-0.0;-0.0003;-0.0016;| || |;0.0;-0.0003;-0.00030000000000000014
193;-0.0003;-0.0003;-0.0013;| || |;-0.0003;0.0;0.00030000000000000014
194;-0.0;-0.0;-0.0013;| || |;0.0003;0.0003;0.0
195;-0.0003;-0.0003;-0.0013;| || |;-0.0003;-0.0003;0.0
196;-0.0;-0.0003;-0.0013;| || |;0.0003;0.0;0.0
197;-0.0003;-0.0003;-0.0013;| || |;-0.0003;0.0;0.0
198;-0.0003;-0.0006;-0.0013;| || |;0.0;-0.0003;0.0
199;-0.0;-0.0003;-0.0013;| || |;0.0003;0.0003;0.0
200;-0.0003;-0.0003;-0.0013;| || |;-0.0003;0.0;0.0
201;-0.0;-0.0003;-0.0013;| || |;0.0003;0.0;0.0
202;-0.0;-0.0003;-0.0013;| || |;0.0;0.0;0.0
203;-0.0;-0.0006;-0.0013;| || |;0.0;-0.0003;0.0
204;-0.0;-0.0006;-0.0013;| || |;0.0;0.0;0.0
205;-0.0;-0.0003;-0.0013;| || |;0.0;0.0003;0.0
206;-0.0;-0.0;-0.0013;| || |;0.0;0.0003;0.0
207;-0.0;-0.0003;-0.0013;| || |;0.0;-0.0003;0.0
208;-0.0003;-0.0003;-0.0016;| || |;-0.0003;0.0;-0.00030000000000000014
209;-0.0;-0.0006;-0.0013;| || |;0.0003;-0.0003;0.00030000000000000014
210;-0.0;-0.0003;-0.0013;| || |;0.0;0.0003;0.0
211;-0.0;-0.0006;-0.0013;| || |;0.0;-0.0003;0.0
212;-0.0;-0.0003;-0.0013;| || |;0.0;0.0003;0.0
213;-0.0003;-0.0003;-0.0013;| || |;-0.0003;0.0;0.0
214;-0.0003;-0.0006;-0.0013;| || |;0.0;-0.0003;0.0
215;-0.0003;-0.0006;-0.0013;| || |;0.0;0.0;0.0
216;-0.0;-0.0003;-0.0013;| || |;0.0003;0.0003;0.0
217;-0.0003;-0.0003;-0.0013;| || |;-0.0003;0.0;0.0
218;-0.0;-0.0003;-0.0013;| || |;0.0003;0.0;0.0
219;-0.0;-0.0003;-0.001;| || |;0.0;0.0;0.0002999999999999999
220;-0.0003;0.0003;-0.001;| || |;-0.0003;0.0006;0.0
221;-0.0003;0.0009;-0.0013;| || |;0.0;0.0006000000000000001;-0.0002999999999999999
222;-0.0;0.0018;-0.0013;| || |;0.0003;0.0009;0.0
223;-0.0;0.007;-0.001;| || |;0.0;0.0052;0.0002999999999999999
224;-0.0003;0.1017;-0.001;| || |;-0.0003;0.09469999999999999;0.0
225;-0.0;0.2602;-0.0006;| || |;0.0003;0.15849999999999997;0.0004000000000000001
226;-0.0;0.3022;-0.0006;| || |;0.0;0.04200000000000004;0.0
227;0.0363;0.2945;0.1479;| || |;0.0363;-0.00770000000000004;0.1485
228;0.005;0.2691;0.459;| || |;-0.0313;-0.025399999999999978;0.31110000000000004
229;0.0019;0.2478;0.2326;| || |;-0.0031000000000000003;-0.021300000000000013;-0.22640000000000002
230;0.0025;0.2378;0.2695;| || |;0.0006000000000000001;-0.009999999999999981;0.036900000000000016
231;0.0034;0.2368;0.4089;| || |;0.0008999999999999998;-0.0010000000000000009;0.13939999999999997
232;0.0044;0.2316;0.4553;| || |;0.0010000000000000005;-0.00520000000000001;0.0464
233;0.0044;0.2194;0.4526;| || |;0.0;-0.012199999999999989;-0.00269999999999998
234;0.0041;0.2009;0.4173;| || |;-0.0002999999999999999;-0.018500000000000016;-0.0353
235;0.4152;0.1776;0.3581;| || |;0.4111;-0.023299999999999987;-0.05920000000000003
236;0.7154;0.1581;0.3066;| || |;0.3002;-0.019500000000000017;-0.05149999999999999
237;0.5865;0.1453;0.2731;| || |;-0.12890000000000001;-0.012799999999999978;-0.033499999999999974
238;0.5712;0.1403;0.2483;| || |;-0.01529999999999998;-0.0050000000000000044;-0.024800000000000016
239;0.5712;0.1382;0.2315;| || |;0.0;-0.0021000000000000185;-0.01679999999999998
240;0.5712;0.1382;0.2195;| || |;0.0;0.0;-0.01200000000000001
241;0.57;0.1386;0.2104;| || |;-0.0012000000000000899;0.00040000000000001146;-0.009099999999999997
242;0.7892;0.139;0.2073;| || |;0.21920000000000006;0.00040000000000001146;-0.0030999999999999917
243;0.5937;0.139;0.2068;| || |;-0.1955;0.0;-0.0005000000000000004
244;0.8313;0.1398;0.2084;| || |;0.23760000000000003;0.0007999999999999952;0.0015999999999999903
245;1.6681;0.1403;0.2094;| || |;0.8367999999999999;0.0005000000000000004;0.0010000000000000009
246;1.4462;0.1403;0.2099;| || |;-0.2219;0.0;0.0005000000000000004
247;1.0448;0.1407;0.211;| || |;-0.4014;0.0003999999999999837;0.0010999999999999899
248;0.9868;0.1407;0.2115;| || |;-0.05799999999999994;0.0;0.0005000000000000004
249;0.9808;0.1411;0.2126;| || |;-0.006000000000000005;0.00040000000000001146;0.0011000000000000176
250;1.154;0.1415;0.2141;| || |;0.1731999999999999;0.0003999999999999837;0.0015000000000000013
251;1.765;0.1419;0.2141;| || |;0.611;0.00040000000000001146;0.0
252;1.0448;0.1423;0.2147;| || |;-0.7202;0.00040000000000001146;0.0005999999999999894
253;0.7873;0.1423;0.2157;| || |;-0.25749999999999995;0.0;0.0010000000000000009
254;0.671;0.1423;0.2163;| || |;-0.11629999999999996;0.0;0.0005999999999999894
255;0.6254;0.1423;0.2157;| || |;-0.045600000000000085;0.0;-0.0005999999999999894
256;0.6189;0.1428;0.2163;| || |;-0.00649999999999995;0.0005000000000000004;0.0005999999999999894
257;0.6202;0.1432;0.2173;| || |;0.0012999999999999678;0.0003999999999999837;0.0010000000000000009
258;0.9577;0.1428;0.2168;| || |;0.3375;-0.0003999999999999837;-0.0005000000000000004
259;1.492;0.1432;0.2163;| || |;0.5343;0.0003999999999999837;-0.0005000000000000004
260;0.8251;0.1436;0.2173;| || |;-0.6669;0.00040000000000001146;0.0010000000000000009
261;0.6011;0.144;0.2173;| || |;-0.22399999999999998;0.0003999999999999837;0.0
262;0.57;0.1436;0.2173;| || |;-0.031100000000000017;-0.0003999999999999837;0.0
263;0.5677;0.1449;0.2179;| || |;-0.0022999999999999687;0.0012999999999999956;0.0006000000000000172
264;0.5677;0.1465;0.2184;| || |;0.0;0.0015999999999999903;0.0005000000000000004
265;0.5723;0.1487;0.2184;| || |;0.0046000000000000485;0.0022000000000000075;0.0
266;0.9465;0.1551;0.2206;| || |;0.3742;0.006399999999999989;0.0021999999999999797
267;0.9411;0.1726;0.2216;| || |;-0.00539999999999996;0.017500000000000016;0.0010000000000000009
268;0.6124;0.226;0.2243;| || |;-0.3287;0.0534;0.002700000000000008
269;0.5666;0.3394;0.2298;| || |;-0.04580000000000006;0.11339999999999997;0.005500000000000005
270;0.5643;0.4635;0.2489;| || |;-0.0022999999999999687;0.12410000000000004;0.019100000000000006
271;0.5643;0.5613;0.2936;| || |;0.0;0.0978;0.04470000000000002
272;0.5666;0.6288;0.3769;| || |;0.0022999999999999687;0.0675;0.08329999999999999
273;0.5677;0.6704;0.4879;| || |;0.0010999999999999899;0.04159999999999997;0.11099999999999999
274;0.6724;0.6906;0.5896;| || |;0.10470000000000002;0.020199999999999996;0.10170000000000001
275;1.4048;0.6981;0.6695;| || |;0.7324;0.007500000000000062;0.07989999999999997
276;2.1452;0.6981;0.7108;| || |;0.7404;0.0;0.0413
277;0.6497;0.6936;0.7226;| || |;-1.4954999999999998;-0.0045000000000000595;0.011800000000000033
278;0.5631;0.6862;0.726;| || |;-0.08660000000000001;-0.007399999999999962;0.0033999999999999586
279;0.5575;0.679;0.7209;| || |;-0.005600000000000049;-0.007199999999999984;-0.005099999999999993
280;0.5564;0.6747;0.7125;| || |;-0.0010999999999999899;-0.0043000000000000815;-0.008399999999999963
281;0.5541;0.6718;0.7025;| || |;-0.0022999999999999687;-0.0029000000000000137;-0.010000000000000009
282;0.9122;0.6718;0.6945;| || |;0.3581;0.0;-0.008000000000000007
283;1.823;0.6732;0.6865;| || |;0.9107999999999999;0.0014000000000000679;-0.008000000000000007
284;0.9046;0.679;0.6818;| || |;-0.9184;0.005800000000000027;-0.0047000000000000375
285;0.6904;0.6862;0.6787;| || |;-0.21419999999999995;0.007199999999999984;-0.0030999999999999917
286;0.6666;0.6936;0.6787;| || |;-0.023800000000000043;0.007399999999999962;0.0
287;0.6623;0.7026;0.6818;| || |;-0.0042999999999999705;0.009000000000000008;0.0030999999999999917
288;0.6638;0.7134;0.6865;| || |;0.0014999999999999458;0.010800000000000032;0.0047000000000000375
289;0.6681;0.7212;0.6929;| || |;0.0043000000000000815;0.007799999999999918;0.006399999999999961
290;0.6739;0.7292;0.6993;| || |;0.005800000000000027;0.008000000000000007;0.006400000000000072
291;0.6798;0.7308;0.7075;| || |;0.005899999999999905;0.0016000000000000458;0.008199999999999985
292;0.6888;0.7244;0.7175;| || |;0.009000000000000008;-0.006399999999999961;0.010000000000000009
293;0.6996;0.6966;0.7243;| || |;0.010800000000000032;-0.027800000000000047;0.006800000000000028
294;0.7106;0.6378;0.7312;| || |;0.01100000000000001;-0.05879999999999996;0.006899999999999906
295;0.7203;0.569;0.74;| || |;0.009700000000000042;-0.06880000000000008;0.00880000000000003
296;0.7286;0.5096;0.74;| || |;0.008299999999999974;-0.0593999999999999;0.0
297;0.737;0.4548;0.733;| || |;0.008399999999999963;-0.05480000000000007;-0.007000000000000006
298;0.7438;0.4054;0.7175;| || |;0.006800000000000028;-0.0494;-0.015499999999999958
299;0.749;0.3589;0.6961;| || |;0.005199999999999982;-0.046499999999999986;-0.021399999999999975
300;0.7525;0.3176;0.668;| || |;0.0034999999999999476;-0.0413;-0.028100000000000014
301;0.7578;0.2862;0.6347;| || |;0.005300000000000082;-0.031399999999999983;-0.033299999999999996
302;0.756;0.2635;0.6024;| || |;-0.0018000000000000238;-0.022699999999999998;-0.032299999999999995
303;0.7525;0.2425;0.5604;| || |;-0.0035000000000000586;-0.02100000000000002;-0.04200000000000004
304;0.7404;0.2209;0.5104;| || |;-0.0121;-0.02159999999999998;-0.050000000000000044
305;0.7269;0.2009;0.4618;| || |;-0.013499999999999956;-0.020000000000000018;-0.04859999999999998
306;0.7138;0.1849;0.4182;| || |;-0.0131;-0.015999999999999986;-0.04359999999999997
307;0.7012;0.1709;0.3777;| || |;-0.012599999999999945;-0.014000000000000012;-0.040500000000000036
308;0.6858;0.1577;0.3414;| || |;-0.01540000000000008;-0.01319999999999999;-0.0363
309;0.6681;0.1512;0.3159;| || |;-0.017699999999999938;-0.006500000000000006;-0.025499999999999967
310;0.6497;0.147;0.2956;| || |;-0.018399999999999972;-0.004200000000000009;-0.02030000000000004
311;0.64;0.1407;0.2695;| || |;-0.009700000000000042;-0.0063;-0.026099999999999957
312;0.632;0.1353;0.2472;| || |;-0.008000000000000007;-0.005399999999999988;-0.022300000000000014
313;0.6202;0.1308;0.2326;| || |;-0.011800000000000033;-0.004500000000000004;-0.014600000000000002
314;0.6086;0.1276;0.2265;| || |;-0.011599999999999944;-0.0032000000000000084;-0.006099999999999994
315;0.5987;0.1251;0.2163;| || |;-0.00990000000000002;-0.0025000000000000022;-0.010200000000000015
316;0.5712;0.1227;0.2073;| || |;-0.02749999999999997;-0.0023999999999999855;-0.00899999999999998
317;0.5442;0.1243;0.199;| || |;-0.027000000000000024;0.0015999999999999903;-0.008300000000000002
318;0.5261;0.13;0.1939;| || |;-0.018100000000000005;0.005700000000000011;-0.005100000000000021
319;0.5087;0.13;0.1854;| || |;-0.01739999999999997;0.0;-0.00849999999999998
320;0.4949;0.1288;0.178;| || |;-0.013800000000000034;-0.0012000000000000066;-0.007400000000000018
321;0.4777;0.1207;0.1737;| || |;-0.017199999999999993;-0.008099999999999996;-0.004299999999999998
322;0.4595;0.1156;0.167;| || |;-0.018199999999999994;-0.005100000000000007;-0.006699999999999984
323;0.4317;0.1036;0.1599;| || |;-0.027800000000000047;-0.011999999999999997;-0.007100000000000023
324;0.3986;0.0893;0.1465;| || |;-0.03309999999999996;-0.014299999999999993;-0.013399999999999995
325;0.3606;0.0705;0.1327;| || |;-0.038000000000000034;-0.01880000000000001;-0.013799999999999979
326;0.3445;0.0538;0.1184;| || |;-0.016100000000000003;-0.016699999999999993;-0.014300000000000007
327;0.3363;0.0404;0.0997;| || |;-0.008199999999999985;-0.013400000000000002;-0.01870000000000001
328;0.3309;0.0309;0.086;| || |;-0.00539999999999996;-0.009499999999999998;-0.013700000000000004
329;0.3026;0.0245;0.0717;| || |;-0.028300000000000047;-0.0063999999999999994;-0.014299999999999993
330;0.2576;0.0203;0.057;| || |;-0.044999999999999984;-0.004200000000000002;-0.014699999999999998
331;0.2107;0.0172;0.045;| || |;-0.0469;-0.0030999999999999986;-0.012000000000000004
332;0.1698;0.0147;0.0365;| || |;-0.04089999999999999;-0.0025000000000000005;-0.0085
